Id,Category
0,4
1,1
2,2
3,2
4,6
5,5
6,2
7,10
8,11
9,13
10,15
11,6
12,24
13,2
14,25
15,32
16,32
17,32
18,32
19,33
20,32
21,34
22,32
23,33
24,35
25,32
26,32
27,32
28,37
29,38
30,39
31,39
32,39
33,22
34,20
35,21
36,6
37,2
38,2
39,3
40,6
41,5
42,2
43,6
44,24
45,2
46,25
47,32
48,32
49,32
50,34
51,34
52,32
53,4
54,39
55,6
56,20
57,21
58,4
59,1
60,2
61,2
62,6
63,5
64,2
65,2
66,17
67,29
68,30
69,6
70,24
71,2
72,25
73,34
74,32
75,4
76,32
77,33
78,32
79,34
80,32
81,35
82,35
83,36
84,36
85,37
86,37
87,38
88,39
89,39
90,39
91,6
92,45
93,5
94,4
95,1
96,2
97,3
98,6
99,5
100,2
101,10
102,11
103,13
104,15
105,6
106,24
107,2
108,25
109,32
110,32
111,32
112,32
113,32
114,32
115,34
116,32
117,33
118,35
119,36
120,36
121,32
122,37
123,38
124,39
125,39
126,39
127,6
128,46
129,46
130,24
131,2
132,10
133,11
134,44
135,14
136,15
137,24
138,2
139,2
140,11
141,11
142,26
143,2
144,27
145,10
146,28
147,29
148,14
149,30
150,36
151,36
152,37
153,39
154,39
155,12
156,12
157,42
158,43
159,44
160,44
161,44
162,14
163,15
164,45
165,46
166,24
167,25
168,10
169,11
170,13
171,13
172,15
173,2
174,2
175,25
176,11
177,11
178,26
179,2
180,27
181,10
182,28
183,29
184,14
185,30
186,36
187,36
188,37
189,39
190,39
191,10
192,11
193,42
194,43
195,44
196,44
197,44
198,14
199,15
200,24
201,2
202,45
203,46
204,10
205,12
206,14
207,14
208,14
209,1
210,2
211,25
212,11
213,11
214,11
215,2
216,27
217,10
218,29
219,29
220,14
221,30
222,32
223,32
224,34
225,32
226,32
227,32
228,34
229,32
230,33
231,36
232,36
233,37
234,39
235,40
236,10
237,11
238,44
239,44
240,44
241,44
242,20
243,14
244,15
245,45
246,46
247,5
248,2
249,10
250,11
251,13
252,14
253,15
254,2
255,2
256,2
257,11
258,11
259,26
260,2
261,27
262,10
263,28
264,29
265,14
266,30
267,32
268,32
269,32
270,32
271,32
272,32
273,34
274,32
275,33
276,36
277,36
278,37
279,39
280,40
281,11
282,11
283,42
284,43
285,44
286,44
287,44
288,14
289,15
290,45
291,46
292,4
293,1
294,2
295,0
296,6
297,5
298,45
299,2
300,10
301,11
302,12
303,13
304,13
305,15
306,0
307,0
308,19
309,19
310,20
311,21
312,20
313,21
314,11
315,11
316,2
317,2
318,27
319,28
320,29
321,14
322,14
323,14
324,34
325,34
326,32
327,32
328,32
329,32
330,32
331,33
332,14
333,36
334,36
335,18
336,37
337,39
338,40
339,11
340,11
341,17
342,42
343,43
344,44
345,14
346,15
347,6
348,5
349,7
350,0
351,19
352,19
353,20
354,21
355,20
356,21
357,6
358,24
359,2
360,25
361,2
362,1
363,1
364,2
365,6
366,5
367,2
368,2
369,10
370,11
371,11
372,12
373,12
374,12
375,44
376,15
377,19
378,19
379,19
380,20
381,20
382,21
383,0
384,24
385,2
386,25
387,11
388,11
389,2
390,44
391,17
392,29
393,30
394,14
395,34
396,32
397,32
398,32
399,36
400,18
401,37
402,39
403,40
404,11
405,44
406,44
407,15
408,6
409,45
410,46
411,11
412,44
413,44
414,15
415,6
416,24
417,25
418,14
419,34
420,34
421,32
422,32
423,32
424,33
425,33
426,33
427,32
428,33
429,34
430,32
431,33
432,32
433,33
434,0
435,11
436,11
437,11
438,44
439,43
440,44
441,14
442,15
443,17
444,11
445,12
446,13
447,15
448,22
449,19
450,19
451,20
452,22
453,21
454,0
455,24
456,25
457,0
458,0
459,0
460,0
461,36
462,37
463,39
464,0
465,11
466,12
467,12
468,44
469,43
470,44
471,14
472,15
473,6
474,45
475,46
476,6
477,2
478,2
479,0
480,17
481,13
482,12
483,13
484,15
485,22
486,19
487,19
488,20
489,22
490,21
491,6
492,24
493,25
494,11
495,11
496,27
497,2
498,27
499,29
500,29
501,14
502,30
503,14
504,34
505,34
506,32
507,32
508,32
509,33
510,33
511,32
512,32
513,33
514,34
515,32
516,33
517,33
518,33
519,0
520,14
521,18
522,14
523,36
524,37
525,39
526,0
527,11
528,11
529,11
530,44
531,43
532,44
