trial#, num_stages, num_layers_per_stage, num_features_per_layer, batch_size, lr, training_epochs, start_epoch, predict_epoch, test_ratio, MSE_loss_factor, acc
default, 4, 10, 64, 1, 0.0005, 50, 0, 50, 0.9, 0.15
wc7, 4, 12, 52, 0.0005, 50, 0, 50, 0.9, 0.15, 0.66
t1, 4, 12, 64, 8, 0.0005, 100, 0, 75, 0.9, 0.2, 0.69
,,,,,,,,80,,,0.67
t2, 4, 10, 64, 8, 0.0005, 100, 0, 75, 0.9, 0.2, 0.644
,,,,,,,,85,,, 0.648
t3, 4, 14, 64, 8, 0.0005, 100, 0, 74, 0.9, 0.2, 0.67
t4, 4, 12, 64, 32, 0.0005, 100, 0, 74, 0.9, 0.2, 0.67
t5, 4, 12, 32, 32, 0.0005, 300, 0, 244, 0.95, 0.2, 0.65
t6, 4, 12, 64, 16, 0.0005, 100, 0, 96, 0.95, 0.2
t7(without_SIL), 4, 12, 64, 8, 0.0005, 100, 0, 77, 0.9, 0.2, 0.68

