Id,Category
0,4
1,1
2,2
3,2
4,6
5,5
6,2
7,17
8,17
9,13
10,15
11,15
12,24
13,2
14,25
15,32
16,32
17,32
18,32
19,33
20,32
21,34
22,32
23,33
24,35
25,18
26,36
27,37
28,37
29,13
30,13
31,13
32,15
33,15
34,20
35,46
36,4
37,1
38,2
39,3
40,6
41,5
42,2
43,24
44,24
45,2
46,25
47,36
48,36
49,37
50,37
51,13
52,39
53,39
54,39
55,39
56,45
57,46
58,4
59,1
60,2
61,3
62,6
63,5
64,2
65,2
66,17
67,13
68,15
69,24
70,24
71,2
72,25
73,32
74,32
75,32
76,32
77,33
78,32
79,34
80,32
81,33
82,33
83,36
84,36
85,37
86,37
87,39
88,39
89,39
90,39
91,39
92,11
93,46
94,4
95,1
96,2
97,3
98,5
99,5
100,2
101,17
102,17
103,13
104,15
105,6
106,24
107,2
108,25
109,32
110,32
111,32
112,32
113,32
114,32
115,34
116,32
117,33
118,35
119,18
120,36
121,37
122,37
123,38
124,39
125,39
126,39
127,39
128,45
129,46
130,1
131,2
132,10
133,11
134,13
135,13
136,15
137,45
138,46
139,46
140,11
141,11
142,26
143,26
144,27
145,17
146,28
147,29
148,13
149,15
150,15
151,36
152,37
153,39
154,39
155,11
156,11
157,42
158,42
159,44
160,44
161,44
162,15
163,15
164,45
165,46
166,5
167,2
168,10
169,11
170,13
171,13
172,15
173,1
174,2
175,25
176,11
177,11
178,26
179,2
180,27
181,17
182,28
183,29
184,13
185,15
186,36
187,36
188,37
189,39
190,39
191,11
192,11
193,42
194,43
195,44
196,44
197,44
198,15
199,15
200,45
201,2
202,5
203,2
204,19
205,20
206,20
207,13
208,15
209,1
210,2
211,25
212,11
213,11
214,11
215,2
216,27
217,28
218,28
219,29
220,29
221,15
222,32
223,32
224,32
225,32
226,32
227,32
228,32
229,32
230,33
231,33
232,36
233,37
234,39
235,39
236,11
237,11
238,42
239,42
240,44
241,44
242,20
243,22
244,21
245,45
246,46
247,5
248,2
249,17
250,11
251,13
252,13
253,15
254,5
255,2
256,8
257,11
258,11
259,26
260,2
261,27
262,17
263,28
264,29
265,14
266,15
267,32
268,32
269,32
270,32
271,32
272,32
273,32
274,32
275,33
276,36
277,36
278,37
279,39
280,39
281,11
282,11
283,42
284,42
285,17
286,44
287,44
288,14
289,15
290,45
291,46
292,4
293,1
294,2
295,3
296,1
297,1
298,7
299,2
300,10
301,11
302,12
303,13
304,13
305,13
306,13
307,19
308,19
309,20
310,20
311,20
312,20
313,21
314,11
315,17
316,26
317,2
318,27
319,28
320,29
321,15
322,4
323,32
324,34
325,32
326,32
327,32
328,32
329,33
330,34
331,33
332,33
333,36
334,36
335,37
336,37
337,39
338,39
339,10
340,11
341,12
342,42
343,42
344,27
345,44
346,15
347,45
348,46
349,12
350,19
351,19
352,19
353,20
354,20
355,20
356,21
357,6
358,24
359,2
360,25
361,2
362,1
363,1
364,2
365,5
366,5
367,2
368,2
369,11
370,11
371,11
372,11
373,12
374,12
375,44
376,15
377,19
378,19
379,19
380,20
381,20
382,20
383,20
384,24
385,2
386,25
387,11
388,12
389,12
390,44
391,12
392,29
393,15
394,32
395,32
396,32
397,34
398,32
399,36
400,18
401,37
402,39
403,39
404,11
405,44
406,44
407,15
408,6
409,45
410,46
411,36
412,37
413,37
414,15
415,15
416,24
417,25
418,4
419,34
420,34
421,32
422,32
423,32
424,32
425,32
426,32
427,32
428,33
429,34
430,32
431,32
432,33
433,33
434,17
435,17
436,11
437,11
438,44
439,43
440,44
441,14
442,15
443,17
444,11
445,12
446,11
447,15
448,19
449,19
450,19
451,20
452,22
453,21
454,6
455,24
456,25
457,25
458,25
459,25
460,18
461,36
462,37
463,39
464,11
465,11
466,11
467,12
468,42
469,43
470,44
471,14
472,15
473,6
474,45
475,46
476,4
477,1
478,2
479,3
480,17
481,11
482,12
483,13
484,15
485,15
486,19
487,19
488,20
489,22
490,21
491,6
492,24
493,25
494,11
495,11
496,11
497,2
498,27
499,28
500,29
501,29
502,30
503,4
504,32
505,32
506,32
507,32
508,32
509,32
510,32
511,32
512,32
513,33
514,34
515,32
516,32
517,32
518,33
519,33
520,33
521,33
522,33
523,36
524,37
525,39
526,11
527,11
528,11
529,11
530,42
531,43
532,44
