Id,Category
0,4
1,1
2,2
3,2
4,6
5,5
6,2
7,10
8,11
9,13
10,15
11,6
12,24
13,2
14,25
15,32
16,32
17,32
18,32
19,33
20,34
21,34
22,32
23,33
24,35
25,18
26,36
27,34
28,37
29,14
30,39
31,39
32,33
33,6
34,20
35,46
36,4
37,1
38,2
39,3
40,6
41,5
42,2
43,6
44,24
45,2
46,25
47,36
48,36
49,37
50,37
51,14
52,39
53,39
54,39
55,6
56,45
57,46
58,4
59,1
60,2
61,2
62,6
63,5
64,2
65,2
66,11
67,29
68,30
69,6
70,24
71,2
72,25
73,32
74,32
75,4
76,32
77,33
78,32
79,34
80,32
81,33
82,35
83,36
84,36
85,37
86,37
87,14
88,39
89,39
90,39
91,6
92,46
93,5
94,4
95,1
96,2
97,3
98,6
99,5
100,2
101,10
102,11
103,13
104,15
105,6
106,24
107,2
108,25
109,32
110,32
111,32
112,32
113,33
114,34
115,34
116,32
117,33
118,35
119,18
120,36
121,37
122,37
123,38
124,39
125,39
126,39
127,6
128,45
129,46
130,45
131,2
132,10
133,11
134,13
135,14
136,15
137,24
138,2
139,2
140,11
141,11
142,26
143,2
144,27
145,10
146,28
147,29
148,14
149,30
150,36
151,36
152,37
153,39
154,39
155,11
156,12
157,42
158,43
159,44
160,44
161,44
162,14
163,15
164,45
165,46
166,46
167,45
168,10
169,11
170,13
171,14
172,15
173,2
174,2
175,25
176,26
177,26
178,26
179,2
180,27
181,10
182,28
183,29
184,14
185,30
186,36
187,36
188,37
189,39
190,39
191,10
192,11
193,42
194,43
195,44
196,44
197,44
198,14
199,15
200,45
201,2
202,46
203,45
204,32
205,32
206,32
207,32
208,33
209,24
210,2
211,25
212,11
213,11
214,26
215,2
216,27
217,10
218,28
219,29
220,14
221,30
222,32
223,32
224,34
225,32
226,32
227,32
228,34
229,32
230,33
231,36
232,36
233,37
234,39
235,39
236,11
237,11
238,44
239,44
240,44
241,44
242,44
243,14
244,15
245,6
246,46
247,5
248,2
249,10
250,11
251,13
252,14
253,15
254,2
255,2
256,2
257,11
258,11
259,26
260,2
261,27
262,10
263,28
264,29
265,14
266,30
267,32
268,32
269,32
270,32
271,33
272,32
273,32
274,32
275,33
276,36
277,36
278,37
279,39
280,39
281,10
282,11
283,42
284,43
285,44
286,44
287,44
288,14
289,15
290,45
291,46
292,4
293,1
294,2
295,3
296,6
297,2
298,7
299,24
300,10
301,11
302,12
303,13
304,13
305,13
306,15
307,14
308,19
309,20
310,20
311,21
312,20
313,21
314,11
315,27
316,26
317,2
318,27
319,28
320,29
321,14
322,14
323,14
324,34
325,32
326,32
327,32
328,32
329,32
330,32
331,33
332,14
333,36
334,36
335,37
336,37
337,39
338,40
339,10
340,11
341,12
342,42
343,43
344,44
345,14
346,15
347,6
348,46
349,7
350,14
351,19
352,19
353,20
354,21
355,20
356,21
357,6
358,24
359,2
360,25
361,2
362,1
363,1
364,2
365,6
366,5
367,2
368,2
369,11
370,11
371,12
372,12
373,12
374,12
375,44
376,15
377,22
378,19
379,19
380,19
381,20
382,21
383,6
384,24
385,2
386,25
387,11
388,11
389,2
390,27
391,31
392,29
393,30
394,14
395,34
396,32
397,32
398,32
399,36
400,18
401,37
402,39
403,40
404,11
405,44
406,44
407,15
408,6
409,45
410,46
411,36
412,37
413,37
414,39
415,6
416,24
417,25
418,4
419,4
420,34
421,32
422,33
423,32
424,33
425,32
426,33
427,32
428,33
429,32
430,32
431,33
432,33
433,33
434,17
435,17
436,11
437,12
438,44
439,12
440,44
441,14
442,15
443,17
444,11
445,12
446,13
447,15
448,22
449,19
450,19
451,20
452,22
453,21
454,6
455,24
456,25
457,14
458,14
459,18
460,18
461,36
462,37
463,39
464,11
465,11
466,11
467,12
468,44
469,12
470,44
471,14
472,15
473,6
474,45
475,46
476,4
477,1
478,2
479,3
480,17
481,11
482,12
483,13
484,15
485,22
486,22
487,19
488,20
489,22
490,21
491,6
492,24
493,25
494,11
495,11
496,11
497,2
498,27
499,29
500,29
501,14
502,30
503,4
504,34
505,34
506,34
507,32
508,32
509,32
510,33
511,33
512,32
513,33
514,34
515,32
516,33
517,33
518,33
519,14
520,36
521,36
522,18
523,36
524,37
525,39
526,17
527,17
528,12
529,12
530,44
531,12
532,44
